n,p,k,config,inference,var_order,val_order,trials,success_rate,avg_runtime,std_runtime,avg_checks,avg_backtracks,avg_steps
30,0.1,3,fc+mrv+lcv,fc,mrv,lcv,10,1,0.002639318,0.003801627,30,0,
30,0.1,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.00133357,0.001045818,31.2,1.2,
30,0.1,3,mac+mrv+lcv,mac,mrv,lcv,10,1,0.001217508,0.001115457,30,0,
30,0.1,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.0011446,0.001163483,30,0,
30,0.1,3,min_conflicts,min_conflicts,,lcv,10,0.7,1.216858864,1.962823902,3327682.9,,30032.7
30,0.1,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.00191412,0.000653993,30,0,
30,0.1,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.002080679,0.000839551,30,0,
30,0.1,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.00256865,0.001148991,30,0,
30,0.1,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003302646,0.000726342,30,0,
30,0.1,4,min_conflicts,min_conflicts,,lcv,10,1,0.000463057,0.000516561,1361.9,,14.1
30,0.1,5,fc+mrv+lcv,fc,mrv,lcv,10,1,0.003422761,0.001633874,30,0,
30,0.1,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003271627,0.000701684,30,0,
30,0.1,5,mac+mrv+lcv,mac,mrv,lcv,10,1,0.003056717,0.000675215,30,0,
30,0.1,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003059316,0.001106687,30,0,
30,0.1,5,min_conflicts,min_conflicts,,lcv,10,1,0.000325108,0.00052735,886.9,,9.4
30,0.2,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.002206802,0.005029825,34.8,34.8,
30,0.2,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.002083135,0.004945154,36.4,36.4,
30,0.2,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.002593589,0.006119349,12,12,
30,0.2,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.001015091,0.001985022,11,11,
30,0.2,3,min_conflicts,min_conflicts,,lcv,10,0,5.691389203,0.275309464,16556469.1,,100000
30,0.2,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.007135296,0.006509702,30,0,
30,0.2,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003455591,0.001964962,30.7,0.7,
30,0.2,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.003901434,0.002397337,30,0,
30,0.2,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003878212,0.002171553,30.1,0.1,
30,0.2,4,min_conflicts,min_conflicts,,lcv,10,0.9,0.716666389,2.252681374,2140730,,10065.9
30,0.2,5,fc+mrv+lcv,fc,mrv,lcv,10,1,0.006154132,0.004841261,30,0,
30,0.2,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003544021,0.002486849,30,0,
30,0.2,5,mac+mrv+lcv,mac,mrv,lcv,10,1,0.004512882,0.002780032,30,0,
30,0.2,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.009794736,0.005521382,30,0,
30,0.2,5,min_conflicts,min_conflicts,,lcv,10,1,0.000873733,0.000491074,2565,,15.7
30,0.3,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.003094888,0.005438666,20.4,20.4,
30,0.3,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.000711751,0.001184911,17.3,17.3,
30,0.3,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.002847958,0.00498372,9,9,
30,0.3,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.008323884,0.007356832,9,9,
30,0.3,3,min_conflicts,min_conflicts,,lcv,10,0,6.628854322,0.263863755,19416526.7,,100000
30,0.3,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.059391499,0.058232527,234.4,234.4,
30,0.3,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.075007939,0.080181671,237.8,237.8,
30,0.3,4,mac+mrv+lcv,mac,mrv,lcv,10,0,0.067739463,0.060615812,76,76,
30,0.3,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.089267015,0.088687189,76.9,76.9,
30,0.3,4,min_conflicts,min_conflicts,,lcv,10,0,16.58477871,9.398147595,27531905.2,,100000
30,0.3,5,fc+mrv+lcv,fc,mrv,lcv,10,1,0.007011199,0.005134387,33.5,3.5,
30,0.3,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.007375598,0.004742271,33.2,3.2,
30,0.3,5,mac+mrv+lcv,mac,mrv,lcv,10,1,0.012064695,0.004594545,31.4,1.4,
30,0.3,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.008666086,0.002509395,30.3,0.3,
30,0.3,5,min_conflicts,min_conflicts,,lcv,10,0.9,1.001479721,3.13252347,3077852,,10112.1
30,0.4,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.00743382,0.007723081,15,15,
30,0.4,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.002963734,0.005624664,15,15,
30,0.4,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.007382584,0.007496835,9,9,
30,0.4,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.003226519,0.00262998,9,9,
30,0.4,3,min_conflicts,min_conflicts,,lcv,10,0,6.589074492,0.182221275,19306866.9,,100000
30,0.4,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.01492157,0.00960519,92.8,92.8,
30,0.4,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.022192597,0.009992867,79.6,79.6,
30,0.4,4,mac+mrv+lcv,mac,mrv,lcv,10,0,0.027285576,0.004087694,40,40,
30,0.4,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.026971173,0.005993872,42.2,42.2,
30,0.4,4,min_conflicts,min_conflicts,,lcv,10,0,9.694305372,0.530106078,29591424.4,,100000
30,0.4,5,fc+mrv+lcv,fc,mrv,lcv,10,0,0.948711848,0.941320984,3061,3061,
30,0.4,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,1.372449756,1.477788917,3039.3,3039.3,
30,0.4,5,mac+mrv+lcv,mac,mrv,lcv,10,0,1.338206148,1.195294564,961,961,
30,0.4,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,1.399099994,1.311997186,982,982,
30,0.4,5,min_conflicts,min_conflicts,,lcv,10,0,35.62089636,9.221991304,37737579.9,,100000
50,0.1,3,fc+mrv+lcv,fc,mrv,lcv,10,0.3,0.019995904,0.02203325,108.3,93.3,
50,0.1,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0.3,0.043249893,0.042480129,136.5,121.5,
50,0.1,3,mac+mrv+lcv,mac,mrv,lcv,10,0.3,0.018951917,0.019677957,40.5,25.5,
50,0.1,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0.3,0.015137005,0.014520855,31.4,16.4,
50,0.1,3,min_conflicts,min_conflicts,,lcv,10,0,16.52327552,9.076152792,23555374.3,,100000
50,0.1,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.00609436,0.005965618,50,0,
50,0.1,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.006238008,0.008184861,51.1,1.1,
50,0.1,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.005434108,0.005309665,50,0,
50,0.1,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.010456729,0.008907679,50,0,
50,0.1,4,min_conflicts,min_conflicts,,lcv,10,0.8,1.887403965,3.968140612,5674804.1,,20049.8
50,0.2,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.007139969,0.006903637,21,21,
50,0.2,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.005849838,0.005977213,20.1,20.1,
50,0.2,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.005041337,0.006393972,9,9,
50,0.2,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.01038034,0.005980344,9,9,
50,0.2,3,min_conflicts,min_conflicts,,lcv,10,0,10.68534725,0.533947939,31894164.1,,100000
50,0.2,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.0822088,0.04791967,788.8,788.8,
50,0.2,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.139014482,0.101452403,763.5,763.5,
50,0.2,4,mac+mrv+lcv,mac,mrv,lcv,10,0,0.121351409,0.074446215,289.6,289.6,
50,0.2,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.109712124,0.077301871,185.5,185.5,
50,0.2,4,min_conflicts,min_conflicts,,lcv,10,0,14.73748996,0.697093985,45939213.6,,100000
50,0.3,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.004670238,0.006876807,15,15,
50,0.3,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.006029463,0.007933139,15,15,
50,0.3,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.016489792,0.006000152,9,9,
50,0.3,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.011145043,0.001909666,9,9,
50,0.3,3,min_conflicts,min_conflicts,,lcv,10,0,10.52731459,0.861831853,31497946.2,,100000
50,0.3,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.029152441,0.005849391,90.4,90.4,
50,0.3,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.032351732,0.008155297,79.3,79.3,
50,0.3,4,mac+mrv+lcv,mac,mrv,lcv,10,0,0.054583144,0.015975602,44.8,44.8,
50,0.3,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.046214366,0.010481231,43.1,43.1,
50,0.3,4,min_conflicts,min_conflicts,,lcv,10,0,16.26460226,0.712650154,50486382.7,,100000
75,0.1,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.00644896,0.009156229,82.2,82.2,
75,0.1,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.018430901,0.010634533,75.7,75.7,
75,0.1,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.01328795,0.006496293,25.2,25.2,
75,0.1,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.012344146,0.008519866,22.4,22.4,
75,0.1,3,min_conflicts,min_conflicts,,lcv,10,0,14.50413749,0.878896537,43522868.7,,100000
75,0.1,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.049533248,0.055460317,478.8,403.8,
75,0.1,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.679206562,1.587367736,4394.6,4319.6,
75,0.1,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.044900107,0.054069741,201.7,126.7,
75,0.1,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.124553728,0.206263124,331.7,256.7,
75,0.1,4,min_conflicts,min_conflicts,,lcv,10,0,18.47073276,0.893441211,56631119.4,,100000
75,0.2,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.006625676,0.004806847,20.4,20.4,
75,0.2,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.011697912,0.007655245,20.2,20.2,
75,0.2,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.013083673,0.002423287,9,9,
75,0.2,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.015311241,0.00174883,9,9,
75,0.2,3,min_conflicts,min_conflicts,,lcv,10,0,16.15207851,0.715907903,48035963.3,,100000
75,0.2,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.086984587,0.046080162,330.4,330.4,
75,0.2,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.135454893,0.073396442,317,317,
75,0.2,4,mac+mrv+lcv,mac,mrv,lcv,10,0,0.14469614,0.061389105,112,112,
75,0.2,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.130986643,0.05319557,90.3,90.3,
75,0.2,4,min_conflicts,min_conflicts,,lcv,10,0,24.81597123,1.439562906,77578341.8,,100000
